salary_id,emp_id,salary,salary_date
190,225,42874,2023-10-05
191,480,62941,2023-06-06
192,268,73571,2023-07-20
193,499,90405,2023-06-16
194,358,116762,2023-12-13
195,52,94715,2023-11-15
196,25,42317,2023-06-10
197,50,97779,2023-07-28
198,200,-38141,2023-09-08
199,32,108086,2023-04-01
200,149,33630,2023-04-07
201,198,53986,2023-09-07
202,483,90601,2023-08-27
203,397,35865,2023-08-18
204,287,49927,2023-01-28
205,255,103110,2023-05-19
206,372,119657,2023-09-09
207,230,86739,2023-09-23
208,64,104740,2023-08-21
209,396,41477,2023-07-19
210,168,71065,2023-10-22
211,191,69814,2023-11-07
212,188,62257,2023-11-29
213,213,111988,2023-05-22
214,36,101845,2023-04-21
215,216,98844,2023-10-16
216,263,77726,2023-09-07
217,69,43681,2023-01-13
218,437,74196,2023-12-09
219,65,97897,2023-07-13
220,318,114209,2023-11-28
221,446,117966,2023-08-03
222,160,-102234,2023-10-15
223,335,72282,2023-06-26
224,36,115312,2023-12-27
225,435,78583,2023-06-01
226,234,98743,2023-09-24
227,87,117619,2023-08-23
228,350,51068,2023-11-02
229,55,61398,2023-10-13
230,493,87775,2023-12-26
231,296,113752,2023-05-11
232,103,69700,2023-05-13
233,107,64757,2023-07-29
234,483,96459,2023-12-03
235,185,86659,2023-10-24
236,179,72604,2023-11-26
237,424,36763,2023-10-20
238,419,58954,2023-10-25
239,158,83074,2023-10-27
240,309,88077,2023-04-07
241,191,32376,2023-09-28
242,164,68651,2023-03-22
243,232,113981,2023-01-25
244,108,118322,2023-07-03
245,315,94280,2023-12-18
246,53,105977,2023-09-15
247,459,67473,2023-07-17
248,428,38575,2023-03-01
249,373,115257,2023-07-17
250,202,102578,2023-06-05
251,429,104474,2023-07-22
252,322,38400,2023-04-12
253,478,54377,2023-05-27
254,235,66153,2023-11-23
255,465,72603,2023-06-22
256,111,110973,2023-04-22
257,42,-87136,2023-02-21
258,39,70496,2023-11-14
259,480,44518,2023-10-01
260,462,40910,2023-01-02
261,156,113974,2023-12-21
262,207,85263,2023-05-26
263,451,91304,2023-10-18
264,94,56087,2023-08-19
265,431,108907,2023-02-27
266,270,86738,2023-02-10
267,247,102112,2023-07-29
268,279,104539,2023-01-13
269,260,30108,2023-12-01
270,498,80026,2023-12-06
271,83,82132,2023-04-29
272,420,103632,2023-10-26
273,188,37717,2023-01-07
274,240,92764,2023-03-26
275,121,95363,2023-12-26
276,115,47113,2023-11-01
277,153,107609,2023-12-22
278,331,107172,2023-08-05
279,410,90511,2023-10-10
280,382,52538,2023-01-09
281,327,84953,2023-02-07
282,343,68016,2023-08-11
283,354,50847,2023-12-03
284,408,37298,2023-10-13
285,413,56409,2023-05-15
286,491,68099,2023-02-13
287,93,96776,2023-04-23
288,118,112761,2023-05-12
289,192,100420,2023-04-27
290,399,45104,2023-05-30
291,150,-108203,2023-09-07
292,157,94563,2023-05-03
293,426,93310,2023-02-15
294,231,116637,2023-01-04
295,5,53963,2023-07-10
296,214,115740,2023-07-19
297,449,69664,2023-01-12
298,203,103713,2023-05-14
299,258,98634,2023-12-13
300,380,91323,2023-07-19
301,147,39298,2023-12-04
302,188,33345,2023-08-02
303,31,92578,2023-10-28
304,321,69967,2023-06-04
305,434,36195,2023-03-17
306,464,113832,2023-08-25
307,41,98840,2023-07-03
308,308,49568,2023-01-19
309,137,50190,2023-10-13
310,379,56302,2023-02-22
311,27,35860,2023-06-10
312,446,43483,2023-04-19
313,436,116636,2023-03-09
314,336,39329,2023-01-14
315,431,86481,2023-07-11
316,429,73741,2023-01-17
317,482,82365,2023-09-10
318,488,107292,2023-02-04
319,27,92437,2023-08-26
320,64,55535,2023-11-26
321,469,31654,2023-02-15
322,223,69762,2023-08-01
323,119,110657,2023-05-05
324,348,94198,2023-04-17
325,384,112894,2023-12-18
326,389,70787,2023-05-12
327,346,50711,2023-05-30
328,23,55442,2023-07-10
329,358,85836,2023-10-14
330,45,-55211,2023-09-21
331,324,72648,2023-12-20
332,9,44922,2023-04-14
333,499,81107,2023-09-13
334,346,115642,2023-11-13
335,276,99896,2023-10-10
336,436,96273,2023-06-08
337,382,88764,2023-05-15
338,219,81874,2023-05-24
339,238,111306,2023-04-09
340,21,81618,2023-12-29
341,237,66178,2023-01-13
342,471,54769,2023-04-16
343,346,83772,2023-03-01
344,313,78595,2023-01-27
345,136,54133,2023-08-22
346,120,70232,2023-01-04
347,49,32862,2023-06-23
348,202,60392,2023-01-20
349,259,61394,2023-06-28
350,341,36214,2023-10-17
351,232,103005,2023-03-28
352,361,88922,2023-02-17
353,364,114890,2023-01-24
354,47,81480,2023-09-11
355,135,119168,2023-03-03
356,131,36583,2023-08-19
357,211,111186,2023-08-07
358,11,53615,2023-11-05
359,341,41666,2023-10-29
360,271,100811,2023-11-17
361,65,-75254,2023-10-12
362,80,37279,2023-09-27
363,492,117307,2023-01-14
364,1,115346,2023-03-09
365,92,39204,2023-04-27
366,28,39293,2023-06-03
367,63,69285,2023-02-15
368,377,52085,2023-02-08
369,488,-119507,2023-06-16
370,65,116827,2023-08-28
371,299,63271,2023-04-07
372,38,92043,2023-09-27
373,475,106354,2023-01-05
374,283,54977,2023-02-26
375,358,109798,2023-06-13
376,26,108104,2023-06-26
377,407,31673,2023-09-11
378,280,115353,2023-08-24
379,486,102208,2023-04-09
380,184,43015,2023-09-05
381,36,69040,2023-05-15
382,12,104608,2023-12-23
383,17,68227,2023-09-02
384,453,75557,2023-04-21
385,248,92417,2023-02-15
386,102,39629,2023-03-02
387,500,40004,2023-05-16
388,173,119201,2023-11-22
389,465,113776,2023-07-03
390,179,33611,2023-03-02
391,122,76716,2023-08-07
392,446,114297,2023-11-08
393,366,117736,2023-02-02
394,8,-74746,2023-07-31
395,53,63387,2023-04-01
396,146,104045,2023-11-02
397,189,46630,2023-12-02
398,414,70372,2023-09-15
399,425,63298,2023-06-09
400,129,42796,2023-03-12
401,202,101679,2023-12-30
402,324,53049,2023-07-25
403,339,87643,2023-10-02
404,418,31119,2023-03-27
405,232,56880,2023-10-19
406,482,91663,2023-03-15
407,69,68571,2023-11-10
408,128,51670,2023-04-03
409,206,98518,2023-01-15
410,23,105803,2023-02-25
411,264,42521,2023-08-19
412,487,85585,2023-02-10
413,468,71071,2023-06-16
414,211,118302,2023-04-15
415,121,-56982,2023-05-24
416,272,109393,2023-08-25
417,2,36210,2023-11-21
418,335,42666,2023-11-04
419,72,56274,2023-08-21
420,457,119432,2023-06-20
421,222,108461,2023-11-08
422,225,41980,2023-06-02
423,36,70484,2023-07-15
424,183,30230,2023-07-25
425,229,75845,2023-04-03
426,493,48364,2023-09-30
427,259,79855,2023-03-26
428,228,35178,2023-12-02
429,48,54404,2023-05-10
430,449,53425,2023-08-29
431,172,84688,2023-10-27
432,195,81189,2023-05-07
433,129,67746,2023-10-03
434,428,116393,2023-05-09
435,75,50047,2023-08-21
436,42,38424,2023-07-14
437,417,70635,2023-07-15
438,37,79271,2023-08-06
439,24,102842,2023-08-07
440,253,84559,2023-11-23
441,494,90912,2023-01-24
442,237,95949,2023-11-09
443,490,96040,2023-05-10
444,114,64200,2023-05-20
445,306,88331,2023-05-26
446,137,94575,2023-03-29
447,329,116375,2023-06-27
448,436,64158,2023-03-20
449,490,41712,2023-01-06
450,483,50268,2023-12-30
451,336,102534,2023-07-22
452,326,106303,2023-04-26
453,217,88903,2023-10-18
454,28,100880,2023-09-30
455,210,53709,2023-03-29
456,339,112071,2023-09-06
457,476,78321,2023-12-03
458,291,111710,2023-01-20
459,450,58211,2023-04-25
460,334,51241,2023-09-10
461,206,74707,2023-02-01
462,336,32939,2023-03-21
463,248,75265,2023-06-10
464,24,82522,2023-12-18
465,264,93013,2023-02-24
466,217,117458,2023-06-25
467,288,72421,2023-03-13
468,379,78091,2023-05-07
469,145,45627,2023-10-02
470,120,57173,2023-04-28
471,377,60730,2023-10-20
472,471,105596,2023-12-01
473,256,114839,2023-11-02
474,256,112000,2023-01-19
475,102,55718,2023-05-04
476,366,110735,2023-02-06
477,78,-50926,2023-08-25
478,471,112622,2023-03-22
479,94,-49686,2023-10-12
480,160,57509,2023-09-04
481,363,63051,2023-08-15
482,361,30773,2023-02-08
483,122,116314,2023-08-07
484,265,85617,2023-08-09
485,362,93544,2023-05-12
486,171,33883,2023-08-17
487,81,116158,2023-05-01
488,249,61990,2023-06-25
489,370,80082,2023-08-16
490,353,-87072,2023-05-16
491,468,110390,2023-10-29
492,8,117505,2023-02-13
493,253,60509,2023-06-19
494,442,42830,2023-06-22
495,148,58195,2023-04-10
496,23,101473,2023-09-12
497,112,59443,2023-03-07
498,194,83680,2023-07-28
499,261,48743,2023-11-26
500,399,48320,2023-11-06
